intent,web_ref,title,price,suburb,city,property_type,beds,baths,availability,deposit,lease_period,address,agent,phones,whatsapp_links,exclude_tags,url
buy,AP20280,2 Bedroom Apartment Block For Sale in Waterkloof,"R2,300,000",Waterkloof,Pretoria,Apartment Block,2,2,,,,,Sandy Lunt,0823222322; 012 348 0123,[0823222322](https://wa.me/27823222322),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/waterkloof/apartment-block/859447/
buy,AP21968,2 Bedroom Retirement Unit For Sale in Mookgopong,"R1,300,000",Mookgopong,Mookgopong,Retirement Unit,2,2,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),retirement,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/retirement-unit/1456440/
buy,AP22264,1.20Ha Vacant Land Sold in Buffelspoort Eco Estate,"R215,000",Buffelspoort Eco Estate,Modimolle,Vacant Land,,,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),sold,https://www.appleproperty.co.za/results/residential/for-sale/modimolle/buffelspoort-eco-estate/vacant-land/1720100/
buy,AP20707,3 Bedroom House For Sale in Mookgopong,"R970,000",Mookgopong,Mookgopong,House,3,2,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/house/964044/
buy,AP21216,8Ha Smallholding For Sale in Oorlogsfontein AH,"R2,100,000",Oorlogsfontein Ah,Mokopane,Smallholding,7,4,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mokopane/oorlogsfontein-ah/smallholding/1154401/
buy,AP24002,8.80Ha Farm For Sale in Bela Bela,"R2,260,000",Bela Bela,Bela Bela,Farm,13,7,,,,,,082 490 7659; 065 851 0009,[082 490 7659](https://wa.me/27824907659); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela/farm/3113552/
buy,AP23952,3 Bedroom Package Home For Sale in Hazeldean,"R5,315,000",Hazeldean,Pretoria,Package Home,3,3.5,,,,,,072 440 1788; 012 348 0123,[072 440 1788](https://wa.me/27724401788),retirement,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/hazeldean/package-home/3081205/
buy,AP23878,3 Bedroom Townhouse For Sale in Equestria,"R1,795,000",Equestria,Pretoria,Townhouse,3,2.5,,,,,Hannelize Wilken,084 580 8700; 012 348 0123,[084 580 8700](https://wa.me/27845808700),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/equestria/townhouse/3042838/
buy,AP23816,1 Bedroom Apartment For Sale in Menlyn,"R1,735,000",Menlyn,Pretoria,Apartment,1,1,,,,,Andre Sciocatti,082 930 7386; 012 348 0123,[082 930 7386](https://wa.me/27829307386),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/menlyn/apartment/3021472/
buy,AP11197,Studio Apartment For Sale in Hatfield,"R770,000",Hatfield,Pretoria,Studio Apartment,,1,,,,,Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/hatfield/studio-apartment/846011/
buy,AP24008,21.40Ha Farm For Sale in Modimolle Rural,"R1,900,000",Modimolle Rural,Modimolle,Farm,4,2,,,,,,062 568 0285; 065 851 0009; 082 490 7659,[062 568 0285](https://wa.me/27625680285); [065 851 0009](https://wa.me/27658510009); [082 490 7659](https://wa.me/27824907659),,https://www.appleproperty.co.za/results/residential/for-sale/modimolle/modimolle-rural/farm/3114022/
buy,AP23602,"2,500m2 Vacant Land For Sale in Verloren Estate","R635,000",Verloren Estate,Bela Bela,Vacant Land,,,,,,,,062 568 0285; 065 851 0009,[062 568 0285](https://wa.me/27625680285); [065 851 0009](https://wa.me/27658510009),retirement; assisted-living,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/verloren-estate/vacant-land/2926784/
buy,AP22868,983Ha Farm For Sale in Mookgopong,"R13,700,000",Mookgopong,Mookgopong,Farm,3,3,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/farm/2271824/
buy,AP23829,3 Bedroom Apartment For Sale in Carlswald Meadows,"R1,299,000",Carlswald Meadows,Midrand,Apartment,3,2,,,,"94 Carlswald Meadows, 55 Acacia Road, Carlswald Meadows, Midrand",Shogan Naidoo,072 430 6757,[072 430 6757](https://wa.me/27724306757),,https://www.appleproperty.co.za/results/residential/for-sale/midrand/carlswald-meadows/apartment/3024749/94-carlswald-meadows-55-acacia-road/
buy,AP23855,7 Bedroom House For Sale in Savannah Hills Estate,"R4,500,000",Savannah Hills Estate,Midrand,House,7,7,,,,,Shogan Naidoo,072 430 6757,[072 430 6757](https://wa.me/27724306757),,https://www.appleproperty.co.za/results/residential/for-sale/midrand/savannah-hills-estate/house/3031461/
buy,AP19164,1 Bedroom Apartment For Sale in Hatfield,"R660,000",Hatfield,Pretoria,Apartment,1,1,,,,,Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/hatfield/apartment/844591/
buy,AP21292,2 Bedroom Apartment For Sale in Menlo Park,"R2,195,000",Menlo Park,Pretoria,Apartment,2,2,,,,,Marianne Kenny,072 456 1802; 012 348 0123,[072 456 1802](https://wa.me/27724561802),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/menlo-park/apartment/1180139/
buy,AP21918,4 Bedroom Duplex For Sale in Ben Fleur,"R3,210,000",Ben Fleur,Witbank,Duplex,4,4.5,,,,,Milena Kanka,013 590 0665,,,https://www.appleproperty.co.za/results/residential/for-sale/witbank/ben-fleur/duplex/1441474/
buy,AP24131,1.79Ha Vacant Land For Sale in Buffelspoort Eco Estate,"R478,000",Buffelspoort Eco Estate,Bela Bela,Vacant Land,,,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/buffelspoort-eco-estate/vacant-land/3169025/
buy,AP24047,2 Bedroom Townhouse For Sale in Model Park,"R895,000",Model Park,Witbank,Townhouse,2,1,,,,,Willa Lombard,082 566 1354; 013 590 0665,[082 566 1354](https://wa.me/27825661354),,https://www.appleproperty.co.za/results/residential/for-sale/witbank/model-park/townhouse/3134000/
buy,AP21905,3 Bedroom House For Sale in Waterkloof,"R2,500,000",Waterkloof,Pretoria,House,3,2,,,,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/waterkloof/house/1438775/
buy,AP22104,"57,000m2 Smallholding For Sale in Zwavelpoort AH","R11,400,000",Zwavelpoort Ah,Pretoria,Smallholding,"The bedrooms are all large and bright with plenty of sunlight, ample cupboards and storage space, air conditioners, and private bathrooms.",4,,,,,Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/zwavelpoort-ah/smallholding/1553575/
buy,AP24064,1 Bedroom Bungalow For Sale in Mookgopong,"R450,000",Mookgopong,Mookgopong,Bungalow,1,1,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/bungalow/3141658/
buy,AP23759,3 Bedroom House For Sale in Lyttelton Manor,"R2,395,000",Lyttelton Manor,Centurion,House,3,2,,,,,,082 392 3123; 012 348 0123,[082 392 3123](https://wa.me/27823923123),,https://www.appleproperty.co.za/results/residential/for-sale/centurion/lyttelton-manor/house/2997298/
buy,AP22539,1 Bedroom Apartment For Sale in Garsfontein,"R999,000",Garsfontein,Pretoria,Apartment,1,1,,,,"LIFE RIGHS - Luxury Retirement Estate Apartment for Sale in Garsfontein, Pretoria:",Vinette Smit,0826529627; 012 348 0123,[0826529627](https://wa.me/27826529627),retirement,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/garsfontein/apartment/1809849/
buy,AP24072,2 Bedroom Townhouse For Sale in Newlands,"R1,980,000",Newlands,Pretoria,Townhouse,2,1,,,,,Petro Sciocatti,082 551 7990; 012 348 0123; 082 930 7386,[082 551 7990](https://wa.me/27825517990); [082 930 7386](https://wa.me/27829307386),retirement,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/newlands/townhouse/3143011/
buy,AP22841,"51,930m2 Vacant Land For Sale in Mooiplaats AH","R1,380,000",Mooiplaats Ah,Pretoria,Vacant Land,,,,,,,Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/mooiplaats-ah/vacant-land/2264179/
buy,AP23465,8.90Ha Vacant Land For Sale in Bela Bela Rural,"R450,000",Bela Bela Rural,Bela Bela,Vacant Land,,,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela-rural/vacant-land/2840983/
buy,AP22312,300Ha Farm For Sale in Mookgopong,"R9,000,000",Mookgopong,Mookgopong,Farm,4,3,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/farm/1732970/
buy,AP23922,2 Bedroom Simplex For Sale in Mooikloof Ridge,"R1,350,000",Mooikloof Ridge,Pretoria,Simplex,2,2,,,,,Liezl Janse Van Rensburg,084 851 0492; 012 348 0123,[084 851 0492](https://wa.me/27848510492),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/mooikloof-ridge/simplex/3073561/
buy,AP18282,2 Bedroom Apartment For Sale in Arcadia,"R830,000",Arcadia,Pretoria,Apartment,2,1,,,,"00 Lofts @ Loftus, 760 Park Street, Arcadia, Pretoria",Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/arcadia/apartment/846076/00-lofts-loftus-760-park-street/
buy,AP24111,21.50Ha Farm For Sale in Bela Bela,"R3,700,000",Bela Bela,Bela Bela,Farm,14,8,,,,,,082 490 7659; 065 851 0009,[082 490 7659](https://wa.me/27824907659); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela/farm/3161601/
buy,AP15616,3 Bedroom House For Sale in Mookgopong,"R1,580,000",Mookgopong,Mookgopong,House,3,2,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/house/847894/
buy,AP23211,5 Bedroom House For Sale in Bela Bela,"R1,900,000",Bela Bela,Bela Bela,House,5,3,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela/house/2510388/
buy,AP3331,5 Bedroom House For Sale in Bankenveld Estate,"R5,300,000",Bankenveld Estate,Witbank,House,5,3.5,,,,,Milena Kanka,013 590 0665,,,https://www.appleproperty.co.za/results/residential/for-sale/witbank/bankenveld-estate/house/846246/
buy,AP23662,3 Bedroom Freestanding For Sale in Wierda Park,"R2,500,000",Wierda Park,Centurion,Freestanding,3,2,,,,"275 QUELEA, Wierda Park, Centurion",Shogan Naidoo,072 430 6757; 082 930 7386,[072 430 6757](https://wa.me/27724306757); [082 930 7386](https://wa.me/27829307386),,https://www.appleproperty.co.za/results/residential/for-sale/centurion/wierda-park/freestanding/2952383/275-quelea/
buy,AP23580,3 Bedroom House For Sale in Waterkloof,"R3,700,000",Waterkloof,Pretoria,House,3,2,,,,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/waterkloof/house/2922948/
buy,AP22138,3 Bedroom House For Sale in Mookgopong,"R1,680,000",Mookgopong,Mookgopong,House,3,2,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/house/1613425/
buy,AP23666,3 Bedroom Duet Sold in Newlands,"R1,849,000",Newlands,Pretoria,Duet,3,2,,,,,Betsie Summerfield,083 488 4748; 012 348 0123,[083 488 4748](https://wa.me/27834884748),sold,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/newlands/duet/2954579/
buy,AP24053,2 Bedroom Simplex For Sale in Pierre Van Ryneveld,"R1,300,000",Pierre Van Ryneveld,Centurion,Simplex,2,1,,,,,Lenie Visage,083 259 5342; 012 348 0123; 084 870 1465,[083 259 5342](https://wa.me/27832595342); [084 870 1465](https://wa.me/27848701465),,https://www.appleproperty.co.za/results/residential/for-sale/centurion/pierre-van-ryneveld/simplex/3136097/
buy,AP24094,4 Bedroom House For Sale in Waterkloof,"R4,500,000",Waterkloof,Pretoria,House,4,3,,,,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/waterkloof/house/3151054/
buy,AP23924,2 Bedroom Apartment For Sale in Brooklyn,"R1,300,000",Brooklyn,Pretoria,Apartment,2,1,,,,,Sandy Lunt,0823222322; 012 348 0123,[0823222322](https://wa.me/27823222322),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/brooklyn/apartment/3073872/
buy,AP23257,2 Bedroom Retirement Unit For Sale in Bela Bela,"R945,000",Bela Bela,Bela Bela,Retirement Unit,2,2,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),retirement,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela/retirement-unit/2672269/
buy,AP22179,4 Bedroom House For Sale in Bankenveld Estate,"R4,300,000",Bankenveld Estate,Witbank,House,4,3.5,,,,,Milena Kanka,013 590 0665,,,https://www.appleproperty.co.za/results/residential/for-sale/witbank/bankenveld-estate/house/1637348/
buy,AP23925,409Ha Farm For Sale in Alma,"R26,000,000",Alma,Modimolle,Farm,4,4,,,,,,065 921 3851; 065 851 0009,[065 921 3851](https://wa.me/27659213851); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/modimolle/alma/farm/3074071/
buy,AP24017,1 Bedroom Apartment For Sale in Hazeldean,"R699,000",Hazeldean,Pretoria,Apartment,1,1,,,,"666 Oscars Place, 2098 Monroe Close, Hazeldean, Pretoria",Fransie Pienaar,082 338 3037; 012 348 0123,[082 338 3037](https://wa.me/27823383037),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/hazeldean/apartment/3117415/666-oscars-place-2098-monroe-close/
buy,AP22197,"93,500m2 Farm For Sale in Mooiplaats AH","R5,250,000",Mooiplaats Ah,Pretoria,Farm,3,2,,,,,Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/mooiplaats-ah/farm/1652802/
buy,AP23912,5 Bedroom House Sold in Constantia Park,"R3,400,000",Constantia Park,Pretoria,House,5,3,,,,,Betsie Summerfield,083 488 4748; 012 348 0123,[083 488 4748](https://wa.me/27834884748),sold,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/constantia-park/house/3068256/
buy,AP23640,2 Bedroom Apartment For Sale in Menlyn,"R4,980,000",Menlyn,Pretoria,Apartment,2,2,,,,,Vivienne Doeg,082 301 6767; 012 348 0123; 082 930 7386,[082 301 6767](https://wa.me/27823016767); [082 930 7386](https://wa.me/27829307386),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/menlyn/apartment/2942486/
buy,AP18273,5 Bedroom Freestanding For Sale in Waterkloof,"R6,900,000",Waterkloof,Pretoria,Freestanding,5,4,,,,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/waterkloof/freestanding/852258/
buy,AP24126,1.90Ha Vacant Land For Sale in Buffelspoort Eco Estate,"R220,000",Buffelspoort Eco Estate,Bela Bela,Vacant Land,,,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/buffelspoort-eco-estate/vacant-land/3168813/
buy,AP23479,2 Bedroom Freehold For Sale in Bela Bela,"R1,250,000",Bela Bela,Bela Bela,Freehold,2,2,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela/freehold/2878839/
buy,AP23582,3 Bedroom Apartment For Sale in Lynnwood,"R2,299,000",Lynnwood,Pretoria,Apartment,3,2,,,,,Sandy Lunt,0823222322; 012 348 0123,[0823222322](https://wa.me/27823222322),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/lynnwood/apartment/2923292/
buy,AP18556,2 Bedroom Retirement Unit For Sale in Equestria,"R985,000",Equestria,Pretoria,Retirement Unit,2,1,,,,,Hannelize Wilken,084 580 8700; 012 348 0123,[084 580 8700](https://wa.me/27845808700),retirement; assisted-living,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/equestria/retirement-unit/844160/
buy,AP23839,2 Bedroom Retirement Unit Sold in Bela Bela,"R920,000",Bela Bela,Bela Bela,Retirement Unit,2,1.5,,,,,,065 921 3851; 065 851 0009,[065 921 3851](https://wa.me/27659213851); [065 851 0009](https://wa.me/27658510009),sold; retirement,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela/retirement-unit/3028540/
buy,AP24104,4 Bedroom Freestanding For Sale in Valhalla,"R1,995,000",Valhalla,Centurion,Freestanding,4,2,,,,,Shogan Naidoo,072 430 6757,[072 430 6757](https://wa.me/27724306757),,https://www.appleproperty.co.za/results/residential/for-sale/centurion/valhalla/freestanding/3157544/
buy,AP22405,2 Bedroom Apartment For Sale in Lynnwood,"R1,930,000",Lynnwood,Pretoria,Apartment,2,2,,,,,Sandy Lunt,0823222322; 012 348 0123; 082 301 6767,[0823222322](https://wa.me/27823222322); [082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/lynnwood/apartment/1761963/
buy,AP22399,1 Bedroom Apartment For Sale in The Hills Game Reserve Estate,"R990,000",The Hills Game Reserve Estate,Pretoria,Apartment,1,1,,,,,,061 409 4722; 012 348 0123,[061 409 4722](https://wa.me/27614094722),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/the-hills-game-reserve-estate/apartment/1757507/
buy,AP24071,3 Bedroom Townhouse For Sale in Eco Park Estate,"R1,449,000",Eco Park Estate,Centurion,Townhouse,3,2,,,,"305 Eco Park Estate, 402 Eco Park Blvd, Eco Park Estate, Centurion",Shogan Naidoo,072 430 6757,[072 430 6757](https://wa.me/27724306757),,https://www.appleproperty.co.za/results/residential/for-sale/centurion/eco-park-estate/townhouse/3142429/305-eco-park-estate-402-eco-park-blvd/
buy,AP23888,2 Bedroom House For Sale in Waterkloof,"R1,950,000",Waterkloof,Pretoria,House,2,2,,,,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/waterkloof/house/3045996/
buy,AP19840,5 Bedroom House For Sale in Bankenveld Golf Estate,"R4,500,000",Bankenveld Golf Estate,Witbank,House,5,5,,,,,Milena Kanka,013 590 0665,,,https://www.appleproperty.co.za/results/residential/for-sale/witbank/bankenveld-golf-estate/house/858174/
buy,AP23519,1 Bedroom Apartment For Sale in Garsfontein,"R1,000,000",Garsfontein,Pretoria,Apartment,1,1,,,,"Luxury Retirement Estate Apartment for Sale in Garsfontein, Pretoria:",Vinette Smit,0826529627; 012 348 0123,[0826529627](https://wa.me/27826529627),retirement,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/garsfontein/apartment/2900804/
buy,AP23933,4 Bedroom House For Sale in Moreleta Park,"R2,790,000",Moreleta Park,Pretoria,House,4,2,,,,,Liezl Janse Van Rensburg,084 851 0492; 012 348 0123,[084 851 0492](https://wa.me/27848510492),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/moreleta-park/house/3079328/
buy,AP23508,3 Bedroom Sectional Title For Sale in Lynnwood,"R3,966,000",Lynnwood,Pretoria,Sectional Title,3,3,,,,"Lynnwood Living Secure Residential Development in Lynnwood, Pretoria",Andre Sciocatti,082 930 7386; 012 348 0123,[082 930 7386](https://wa.me/27829307386),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/lynnwood/sectional-title/2894867/
buy,AP15157,"1,900m2 Vacant Land For Sale in Ben Fleur","R4,200,000",Ben Fleur,Witbank,Vacant Land,,,,,,,Willa Lombard,082 566 1354; 013 590 0665,[082 566 1354](https://wa.me/27825661354),,https://www.appleproperty.co.za/results/residential/for-sale/witbank/ben-fleur/vacant-land/846513/
buy,AP10459,Gated Estate For Sale in Boschkop AH,"R950,000",Boschkop Ah,Pretoria,Gated Estate,,,,,,,Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/boschkop-ah/gated-estate/851750/
buy,AP18892,6 Bedroom House For Sale in Zwavelpoort AH,"R4,950,000",Zwavelpoort Ah,Pretoria,House,6,3.5,,,,,Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/zwavelpoort-ah/house/851768/
buy,AP23846,2 Bedroom Sectional Title For Sale in Mookgopong,"R500,000",Mookgopong,Mookgopong,Sectional Title,2,1,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/sectional-title/3030195/
buy,AP22217,3 Bedroom Townhouse For Sale in Die Heuwel,"R1,399,000",Die Heuwel,Witbank,Townhouse,3,2.5,,,,,Willa Lombard,082 566 1354; 013 590 0665,[082 566 1354](https://wa.me/27825661354),,https://www.appleproperty.co.za/results/residential/for-sale/witbank/die-heuwel/townhouse/1664663/
buy,AP23686,4 Bedroom House For Sale in Del Judor,"R1,798,000",Del Judor,Witbank,House,4,2,,,,,Milena Kanka,013 590 0665,,,https://www.appleproperty.co.za/results/residential/for-sale/witbank/del-judor/house/2963094/
buy,AP23701,2 Bedroom Retirement Unit For Sale in Bela Bela,"R795,000",Bela Bela,Bela Bela,Retirement Unit,2,1,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),retirement,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/bela-bela/retirement-unit/2969710/
buy,AP23914,3 Bedroom House For Sale in Waterkloof,"R4,600,000",Waterkloof,Pretoria,House,3,2,,,,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/waterkloof/house/3069548/
buy,AP23450,4 Bedroom House For Sale in Brooklands Lifestyle Estate,"R3,550,000",Brooklands Lifestyle Estate,Centurion,House,4,4,,,,"3052 Plate Thorne Crescent, Brooklands Lifestyle Estate, Centurion",Shogan Naidoo,072 430 6757,[072 430 6757](https://wa.me/27724306757),,https://www.appleproperty.co.za/results/residential/for-sale/centurion/brooklands-lifestyle-estate/house/2832908/3052-plate-thorne-crescent/
buy,AP20127,2 Bedroom Apartment For Sale in Mookgopong,"R590,000",Mookgopong,Mookgopong,Apartment,2,2,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/apartment/844088/
buy,AP24048,2 Bedroom Townhouse For Sale in Equestria,"R1,149,000",Equestria,Pretoria,Townhouse,2,1,,,,"Call now to secure your viewing of this beautiful, single storey townhouse in the heart of Equestria, Pretoria East.",Hannelize Wilken,084 580 8700; 012 348 0123,[084 580 8700](https://wa.me/27845808700),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/equestria/townhouse/3134725/
buy,AP23270,889m2 Vacant Land For Sale in Silverwoods Country Estate,"R2,500,000",Silverwoods Country Estate,Pretoria,Vacant Land,,,,,,,,072 440 1788; 012 348 0123,[072 440 1788](https://wa.me/27724401788),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/silverwoods-country-estate/vacant-land/2718383/
buy,AP22380,3 Bedroom House For Sale in Mookgopong,"R2,460,000",Mookgopong,Mookgopong,House,3,2,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/house/1750600/
buy,AP23321,936m2 Vacant Land For Sale in Silver Lakes Golf Estate,"R3,800,000",Silver Lakes Golf Estate,Pretoria,Vacant Land,,,,,,,,072 440 1788; 012 348 0123,[072 440 1788](https://wa.me/27724401788),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/silver-lakes-golf-estate/vacant-land/2740933/
buy,AP23993,3 Bedroom House For Sale in Equestria,"R1,990,000",Equestria,Pretoria,House,3,2,,,,"Immerse yourself in the luxury of this turnkey property in the heart of Equestria, Pretoria East!",Hannelize Wilken,084 580 8700; 012 348 0123,[084 580 8700](https://wa.me/27845808700),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/equestria/house/3105589/
buy,AP24129,1.50Ha Vacant Land For Sale in Buffelspoort Eco Estate,"R430,000",Buffelspoort Eco Estate,Bela Bela,Vacant Land,,,,,,,Margaret Horton,078 331 5590; 065 851 0009,[078 331 5590](https://wa.me/27783315590); [065 851 0009](https://wa.me/27658510009),,https://www.appleproperty.co.za/results/residential/for-sale/bela-bela/buffelspoort-eco-estate/vacant-land/3168978/
buy,AP23363,4 Bedroom House For Sale in Mookgopong,"R2,200,000",Mookgopong,Mookgopong,House,4,3,,,,,Erinda Van Aswegen,072 542 7373,[072 542 7373](https://wa.me/27725427373),,https://www.appleproperty.co.za/results/residential/for-sale/mookgopong/mookgopong/house/2783451/
buy,AP23358,2 Bedroom Duplex For Sale in Centurion Golf Estate,"R2,890,000",Centurion Golf Estate,Centurion,Duplex,2,2,,,,,Magde Meyer,083 387 3437; 012 940 0099,[083 387 3437](https://wa.me/27833873437),,https://www.appleproperty.co.za/results/residential/for-sale/centurion/centurion-golf-estate/duplex/2782089/
buy,AP21396,3 Bedroom House For Sale in Grootfontein AH,"R5,750,000",Grootfontein Ah,Pretoria,House,3,3,,,,,Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/grootfontein-ah/house/1208337/
buy,AP24117,2 Bedroom Simplex For Sale in Rietvlei Ridge Country Estate,"R1,490,000",Rietvlei Ridge Country Estate,Pretoria,Simplex,2,1,,,,,Melanie Burrell,082 653 5568; 012 940 0099,[082 653 5568](https://wa.me/27826535568),,https://www.appleproperty.co.za/results/residential/for-sale/pretoria/rietvlei-ridge-country-estate/simplex/3166637/
